model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Mean Value,Y8735,109.37,70.6,45227.93,0,Micro
Random Walk,Y8735,22.14,19.34,12000.12,0,Micro
Arima,Y8735,3.71,3.8,2056.57,0,Micro
Theta,Y8735,170.41,92.01,58580.0,0,Micro
Prophet,Y8735,165.14,90.43,57688.3,0,Micro
Last Value,Y8736,18.58,16.72,2585.0,0,Micro
Mean Value,Y8736,66.7,49.9,7484.93,0,Micro
Random Walk,Y8736,12.51,11.3,1720.31,0,Micro
Arima,Y8736,16.47,14.92,2320.57,0,Micro
Theta,Y8736,111.04,70.97,10616.0,0,Micro
Prophet,Y8736,108.94,70.47,10523.62,0,Micro
Last Value,Y8737,17.18,15.42,8331.0,0,Micro
Mean Value,Y8737,33.89,28.68,15037.76,0,Micro
Random Walk,Y8737,17.95,15.94,8657.64,0,Micro
Arima,Y8737,18.63,16.66,8955.4,0,Micro
Theta,Y8737,38.64,32.37,16616.7,0,Micro
Prophet,Y8737,12.67,11.74,5290.73,0,Micro
Last Value,Y8738,27.27,23.46,6629.9,0,Micro
Mean Value,Y8738,99.73,66.41,17963.84,0,Micro
Random Walk,Y8738,27.14,23.28,6596.16,0,Micro
Arima,Y8738,10.26,9.64,2023.29,0,Micro
Theta,Y8738,156.57,87.82,23570.0,0,Micro
Prophet,Y8738,150.99,85.99,23147.57,0,Micro
Last Value,Y8739,14.98,13.76,6593.0,0,Micro
Mean Value,Y8739,112.82,72.1,33651.55,0,Micro
Random Walk,Y8739,20.59,18.16,8748.31,0,Micro
Arima,Y8739,8.63,9.06,2224.57,0,Micro
Theta,Y8739,174.95,93.32,43475.0,0,Micro
Prophet,Y8739,166.11,90.73,42303.87,0,Micro
Last Value,Y8740,19.2,17.4,2790.0,0,Micro
Mean Value,Y8740,39.73,33.06,5258.28,0,Micro
Random Walk,Y8740,21.78,19.39,3119.35,0,Micro
Arima,Y8740,19.82,17.92,2872.15,0,Micro
Theta,Y8740,51.12,40.69,6450.0,0,Micro
Prophet,Y8740,53.33,42.03,6672.99,0,Micro
Last Value,Y8741,17.97,16.24,8738.0,0,Micro
Mean Value,Y8741,109.82,70.85,36909.03,0,Micro
Random Walk,Y8741,10.16,9.46,4676.56,0,Micro
Arima,Y8741,5.05,5.18,1833.39,0,Micro
Theta,Y8741,172.1,92.5,48047.0,0,Micro
Prophet,Y8741,164.55,90.26,46939.62,0,Micro
Last Value,Y8742,18.74,16.48,9046.9,0,Micro
Mean Value,Y8742,30.03,25.57,13557.14,0,Micro
Random Walk,Y8742,15.96,14.09,7860.23,0,Micro
Arima,Y8742,18.8,16.54,9073.63,0,Micro
Theta,Y8742,21.46,19.21,9105.4,0,Micro
Prophet,Y8742,14.65,13.21,6635.44,0,Micro
Last Value,Y8743,23.92,20.91,11078.5,0,Micro
Mean Value,Y8743,43.28,35.25,18222.46,0,Micro
Random Walk,Y8743,24.54,21.28,11330.83,0,Micro
Arima,Y8743,17.5,15.82,7703.2,0,Micro
Theta,Y8743,42.81,35.24,17908.0,0,Micro
Prophet,Y8743,19.07,17.21,8302.42,0,Micro
Last Value,Y8744,14.12,12.92,10044.0,0,Micro
Mean Value,Y8744,88.46,61.26,45772.76,0,Micro
Random Walk,Y8744,5.63,5.4,4267.47,0,Micro
Arima,Y8744,14.69,13.4,10411.9,0,Micro
Theta,Y8744,159.33,88.68,65946.0,0,Micro
Prophet,Y8744,152.7,86.57,64511.83,0,Micro
Last Value,Y8745,20.29,18.17,3317.6,0,Micro
Mean Value,Y8745,107.6,69.91,12422.97,0,Micro
Random Walk,Y8745,31.54,25.79,4787.55,0,Micro
Arima,Y8745,3.83,3.74,459.41,0,Micro
Theta,Y8745,172.63,92.65,16408.4,0,Micro
Prophet,Y8745,167.35,91.1,16157.81,0,Micro
Last Value,Y8746,47.35,37.19,16910.0,0,Micro
Mean Value,Y8746,105.77,68.85,29611.38,0,Micro
Random Walk,Y8746,69.87,49.61,22543.01,0,Micro
Arima,Y8746,45.32,35.91,16343.55,0,Micro
Theta,Y8746,171.2,92.23,38900.0,0,Micro
Prophet,Y8746,168.78,91.49,38732.21,0,Micro
Last Value,Y8747,24.5,21.37,5593.7,0,Micro
Mean Value,Y8747,91.52,62.65,15765.75,0,Micro
Random Walk,Y8747,28.94,24.45,6439.98,0,Micro
Arima,Y8747,14.56,13.38,2869.89,0,Micro
Theta,Y8747,150.33,85.82,21430.4,0,Micro
Prophet,Y8747,149.1,85.38,21379.43,0,Micro
Last Value,Y8748,23.29,27.49,4680.0,0,Micro
Mean Value,Y8748,66.93,49.88,9302.07,0,Micro
Random Walk,Y8748,33.72,42.6,7396.56,0,Micro
Arima,Y8748,21.42,25.13,4246.53,0,Micro
Theta,Y8748,143.78,83.54,15390.0,0,Micro
Prophet,Y8748,142.97,83.32,15350.3,0,Micro
Last Value,Y8749,33.88,27.7,30020.0,0,Micro
Mean Value,Y8749,88.21,60.75,61064.83,0,Micro
Random Walk,Y8749,34.04,28.16,26508.97,0,Micro
Arima,Y8749,25.06,21.42,22259.39,0,Micro
Theta,Y8749,149.54,85.55,84050.0,0,Micro
Prophet,Y8749,151.23,86.01,84907.39,0,Micro
Last Value,Y8750,12.81,12.59,2000.0,0,Micro
Mean Value,Y8750,72.7,53.09,8758.62,0,Micro
Random Walk,Y8750,9.24,9.79,1509.97,0,Micro
Arima,Y8750,18.36,17.17,2814.51,0,Micro
Theta,Y8750,133.29,79.95,13030.0,0,Micro
Prophet,Y8750,134.58,80.38,13151.6,0,Micro
Last Value,Y8751,26.24,22.75,10311.0,0,Micro
Mean Value,Y8751,109.52,70.68,30856.24,0,Micro
Random Walk,Y8751,28.86,24.72,11172.44,0,Micro
Arima,Y8751,9.64,9.12,2804.45,0,Micro
Theta,Y8751,170.51,92.04,39966.0,0,Micro
Prophet,Y8751,165.07,90.41,39334.99,0,Micro
Last Value,Y8752,24.1,21.1,2931.19,0,Micro
Mean Value,Y8752,86.37,60.19,8077.12,0,Micro
Random Walk,Y8752,28.47,24.2,3379.88,0,Micro
Arima,Y8752,14.63,13.47,1548.11,0,Micro
Theta,Y8752,146.0,84.39,11243.23,0,Micro
Prophet,Y8752,141.58,82.85,11068.04,0,Micro
Last Value,Y8753,23.95,20.85,10843.0,0,Micro
Mean Value,Y8753,95.68,64.57,32010.59,0,Micro
Random Walk,Y8753,20.7,18.48,7610.68,0,Micro
Arima,Y8753,8.93,8.42,3413.39,0,Micro
Theta,Y8753,159.75,88.81,43681.0,0,Micro
Prophet,Y8753,155.17,87.34,43061.4,0,Micro
Last Value,Y8754,15.97,14.35,8590.0,0,Micro
Mean Value,Y8754,105.56,69.01,38840.34,0,Micro
Random Walk,Y8754,10.19,9.48,5647.7,0,Micro
Arima,Y8754,5.38,5.57,1483.92,0,Micro
Theta,Y8754,170.43,92.02,51520.0,0,Micro
Prophet,Y8754,163.18,89.84,50396.28,0,Micro
Last Value,Y8755,24.19,21.17,6117.8,0,Micro
Mean Value,Y8755,97.82,65.59,18276.63,0,Micro
Random Walk,Y8755,24.76,21.54,6219.33,0,Micro
Arima,Y8755,9.29,8.8,1727.55,0,Micro
Theta,Y8755,164.65,90.3,25007.0,0,Micro
Prophet,Y8755,161.94,89.46,24827.9,0,Micro
Last Value,Y8756,25.5,21.71,3312.0,0,Micro
Mean Value,Y8756,71.28,52.12,7428.55,0,Micro
Random Walk,Y8756,20.79,18.3,2447.28,0,Micro
Arima,Y8756,26.92,22.78,3465.17,0,Micro
Theta,Y8756,120.99,75.33,10508.0,0,Micro
Prophet,Y8756,136.31,80.94,11336.94,0,Micro
Last Value,Y8757,19.09,17.31,12800.0,0,Micro
Mean Value,Y8757,106.8,69.6,50780.0,0,Micro
Random Walk,Y8757,10.56,9.95,6871.49,0,Micro
Arima,Y8757,3.13,3.05,2040.5,0,Micro
Theta,Y8757,177.24,93.97,68450.0,0,Micro
Prophet,Y8757,170.93,92.15,67183.13,0,Micro
Last Value,Y8758,27.24,23.7,11000.0,0,Micro
Mean Value,Y8758,44.53,36.21,16606.9,0,Micro
Random Walk,Y8758,26.55,23.16,10753.32,0,Micro
Arima,Y8758,27.5,23.89,11089.01,0,Micro
Theta,Y8758,51.1,40.64,18500.0,0,Micro
Prophet,Y8758,52.54,41.43,18946.77,0,Micro
Last Value,Y8759,20.43,18.39,14600.0,0,Micro
Mean Value,Y8759,104.94,68.79,53734.48,0,Micro
Random Walk,Y8759,11.03,10.36,6244.62,0,Micro
Arima,Y8759,6.72,6.49,3676.03,0,Micro
Theta,Y8759,176.24,93.68,73010.0,0,Micro
Prophet,Y8759,170.88,92.14,71885.31,0,Micro
Last Value,Y8760,20.86,18.42,11825.8,0,Micro
Mean Value,Y8760,85.77,59.88,36717.77,0,Micro
Random Walk,Y8760,24.11,21.0,13407.35,0,Micro
Arima,Y8760,12.27,11.33,6267.97,0,Micro
Theta,Y8760,145.8,84.33,51264.7,0,Micro
Prophet,Y8760,142.68,83.22,50765.2,0,Micro
Last Value,Y8761,19.48,17.48,14580.0,0,Micro
Mean Value,Y8761,95.73,64.67,52394.48,0,Micro
Random Walk,Y8761,14.88,13.67,6882.18,0,Micro
Arima,Y8761,21.09,18.77,15650.18,0,Micro
Theta,Y8761,161.18,89.25,72000.0,0,Micro
Prophet,Y8761,155.03,87.31,70565.82,0,Micro
Last Value,Y8762,24.59,21.51,17565.4,0,Micro
Mean Value,Y8762,91.29,62.57,49427.59,0,Micro
Random Walk,Y8762,31.79,26.42,21749.18,0,Micro
Arima,Y8762,12.21,11.41,6976.33,0,Micro
Theta,Y8762,152.08,86.39,67810.3,0,Micro
Prophet,Y8762,148.02,85.03,66899.91,0,Micro
Last Value,Y8763,15.77,14.43,6651.0,0,Micro
Mean Value,Y8763,97.1,65.32,29345.9,0,Micro
Random Walk,Y8763,8.85,8.35,3601.61,0,Micro
Arima,Y8763,2.66,2.64,1193.57,0,Micro
Theta,Y8763,161.2,89.25,39972.0,0,Micro
Prophet,Y8763,157.52,88.1,39522.03,0,Micro
Last Value,Y8764,25.13,21.89,10781.2,0,Micro
Mean Value,Y8764,99.7,66.42,31487.7,0,Micro
Random Walk,Y8764,23.64,20.77,10201.1,0,Micro
Arima,Y8764,8.49,8.08,2703.33,0,Micro
Theta,Y8764,166.62,90.89,42830.2,0,Micro
Prophet,Y8764,161.05,89.19,42099.63,0,Micro
Last Value,Y8765,33.1,27.31,35570.0,0,Micro
Mean Value,Y8765,95.03,64.02,77512.07,0,Micro
Random Walk,Y8765,42.66,33.37,43478.63,0,Micro
Arima,Y8765,32.77,27.17,35271.41,0,Micro
Theta,Y8765,166.64,90.9,107750.0,0,Micro
Prophet,Y8765,163.41,89.87,106994.34,0,Micro
Last Value,Y8766,13.83,12.77,2581.0,0,Micro
Mean Value,Y8766,93.95,63.84,12454.72,0,Micro
Random Walk,Y8766,14.88,13.6,2682.84,0,Micro
Arima,Y8766,12.63,11.77,2373.31,0,Micro
Theta,Y8766,157.76,88.19,17113.0,0,Micro
Prophet,Y8766,154.4,87.11,16943.58,0,Micro
Last Value,Y8767,20.41,18.39,5720.0,0,Micro
Mean Value,Y8767,51.42,40.82,12564.14,0,Micro
Random Walk,Y8767,17.74,16.11,5029.55,0,Micro
Arima,Y8767,21.29,19.1,5939.11,0,Micro
Theta,Y8767,68.18,50.83,15590.0,0,Micro
Prophet,Y8767,67.93,50.64,15562.31,0,Micro
Last Value,Y8768,12.7,11.62,2773.0,0,Micro
Mean Value,Y8768,85.76,59.94,13564.1,0,Micro
Random Walk,Y8768,7.57,7.23,1210.67,0,Micro
Arima,Y8768,11.7,10.76,2573.83,0,Micro
Theta,Y8768,159.17,88.63,19945.0,0,Micro
Prophet,Y8768,153.13,86.7,19554.74,0,Micro
Last Value,Y8769,10.36,9.68,7023.0,0,Micro
Mean Value,Y8769,86.15,60.17,42212.59,0,Micro
Random Walk,Y8769,4.51,4.58,2487.09,0,Micro
Arima,Y8769,7.13,7.43,2688.42,0,Micro
Theta,Y8769,151.84,86.31,60369.0,0,Micro
Prophet,Y8769,145.63,84.25,59021.17,0,Micro
Last Value,Y8770,27.27,23.4,12770.0,0,Micro
Mean Value,Y8770,105.4,68.89,35791.79,0,Micro
Random Walk,Y8770,19.0,17.05,8224.62,0,Micro
Arima,Y8770,22.45,19.72,10536.97,0,Micro
Theta,Y8770,170.64,92.08,47456.0,0,Micro
Prophet,Y8770,166.07,90.7,46865.89,0,Micro
Last Value,Y8771,45.67,34.98,8240.0,0,Micro
Mean Value,Y8771,99.09,65.42,13872.41,0,Micro
Random Walk,Y8771,66.74,46.38,10816.99,0,Micro
Arima,Y8771,45.51,34.9,8216.59,0,Micro
Theta,Y8771,166.58,90.87,18450.0,0,Micro
Prophet,Y8771,162.84,89.63,18347.62,0,Micro
Last Value,Y8772,28.35,24.23,13990.0,0,Micro
Mean Value,Y8772,111.03,71.28,39247.93,0,Micro
Random Walk,Y8772,31.88,27.01,15356.15,0,Micro
Arima,Y8772,9.02,8.51,3464.16,0,Micro
Theta,Y8772,173.27,92.84,50770.0,0,Micro
Prophet,Y8772,167.09,91.01,49874.21,0,Micro
Last Value,Y8773,22.89,20.17,4372.6,0,Micro
Mean Value,Y8773,115.19,73.03,15274.66,0,Micro
Random Walk,Y8773,28.46,24.3,5271.07,0,Micro
Arima,Y8773,1.47,1.47,311.62,0,Micro
Theta,Y8773,180.2,94.79,19748.2,0,Micro
Prophet,Y8773,172.89,92.72,19343.13,0,Micro
Last Value,Y8774,26.12,22.67,10272.0,0,Micro
Mean Value,Y8774,109.4,70.63,30858.21,0,Micro
Random Walk,Y8774,21.71,19.21,7840.2,0,Micro
Arima,Y8774,9.74,9.21,2828.96,0,Micro
Theta,Y8774,170.6,92.07,40014.0,0,Micro
Prophet,Y8774,164.48,90.23,39292.26,0,Micro
Last Value,Y8775,27.62,23.82,10660.0,0,Micro
Mean Value,Y8775,120.39,75.08,32369.66,0,Micro
Random Walk,Y8775,31.95,26.64,12039.58,0,Micro
Arima,Y8775,21.43,19.06,8272.86,0,Micro
Theta,Y8775,186.39,96.48,41404.0,0,Micro
Prophet,Y8775,179.29,94.53,40626.47,0,Micro
Last Value,Y8776,36.71,30.12,19210.0,0,Micro
Mean Value,Y8776,109.41,70.51,42514.83,0,Micro
Random Walk,Y8776,15.34,14.14,6193.98,0,Micro
Arima,Y8776,38.46,31.4,19938.36,0,Micro
Theta,Y8776,176.28,93.7,55750.0,0,Micro
Prophet,Y8776,172.97,92.72,55383.64,0,Micro
Last Value,Y8777,15.7,14.37,3820.0,0,Micro
Mean Value,Y8777,93.79,63.8,16531.72,0,Micro
Random Walk,Y8777,12.16,11.62,2267.44,0,Micro
Arima,Y8777,21.28,19.06,5026.84,0,Micro
Theta,Y8777,143.57,83.34,21550.0,0,Micro
Prophet,Y8777,155.33,87.42,22604.36,0,Micro
Last Value,Y8778,19.93,17.95,10305.1,0,Micro
Mean Value,Y8778,18.77,16.99,9764.98,0,Micro
Random Walk,Y8778,19.61,17.67,10156.73,0,Micro
Arima,Y8778,14.71,13.59,7813.78,0,Micro
Theta,Y8778,3.86,4.01,2355.4,0,Micro
Prophet,Y8778,30.05,25.88,14797.61,0,Micro
Last Value,Y8779,9.62,9.96,720.34,0,Micro
Mean Value,Y8779,16.09,15.21,1192.57,0,Micro
Random Walk,Y8779,9.73,10.04,728.59,0,Micro
Arima,Y8779,8.76,9.24,651.65,0,Micro
Theta,Y8779,20.36,18.21,1473.86,0,Micro
Prophet,Y8779,14.96,14.38,1113.06,0,Micro
Last Value,Y8780,24.52,21.09,11690.0,0,Micro
Mean Value,Y8780,84.88,59.34,30873.45,0,Micro
Random Walk,Y8780,33.43,27.24,15142.89,0,Micro
Arima,Y8780,26.43,22.54,12459.22,0,Micro
Theta,Y8780,120.49,75.18,38534.0,0,Micro
Prophet,Y8780,125.31,76.92,39721.45,0,Micro
Last Value,Y8781,26.57,22.91,12000.0,0,Micro
Mean Value,Y8781,101.29,67.1,33600.0,0,Micro
Random Walk,Y8781,43.69,34.72,18069.27,0,Micro
Arima,Y8781,7.4,7.04,2864.38,0,Micro
Theta,Y8781,172.2,92.53,45990.0,0,Micro
Prophet,Y8781,167.98,91.27,45448.73,0,Micro
Last Value,Y8782,15.85,14.3,9866.13,0,Micro
Mean Value,Y8782,98.97,66.12,43247.24,0,Micro
Random Walk,Y8782,28.59,24.31,16489.17,0,Micro
Arima,Y8782,4.54,4.35,2690.0,0,Micro
Theta,Y8782,167.07,91.03,59230.92,0,Micro
Prophet,Y8782,161.9,89.45,58309.38,0,Micro
Last Value,Y8783,18.5,16.65,2750.7,0,Micro
Mean Value,Y8783,84.86,59.5,9518.1,0,Micro
Random Walk,Y8783,32.08,26.64,4415.66,0,Micro
Arima,Y8783,8.59,8.13,1160.57,0,Micro
Theta,Y8783,153.47,86.83,13822.8,0,Micro
Prophet,Y8783,152.7,86.56,13802.07,0,Micro
Last Value,Y8784,6.71,6.3,4532.0,0,Micro
Mean Value,Y8784,95.12,64.42,43457.59,0,Micro
Random Walk,Y8784,4.13,4.16,2668.96,0,Micro
Arima,Y8784,9.35,9.97,3182.54,0,Micro
Theta,Y8784,164.35,90.21,60684.0,0,Micro
Prophet,Y8784,160.63,89.07,59988.96,0,Micro
Last Value,Y8785,18.62,16.62,9123.3,0,Micro
Mean Value,Y8785,98.11,65.72,34383.82,0,Micro
Random Walk,Y8785,19.07,17.16,6516.19,0,Micro
Arima,Y8785,4.31,4.17,1737.16,0,Micro
Theta,Y8785,165.3,90.5,47083.2,0,Micro
Prophet,Y8785,160.04,88.87,46323.32,0,Micro
Last Value,Y8786,16.89,15.22,11140.2,0,Micro
Mean Value,Y8786,95.66,64.62,45238.47,0,Micro
Random Walk,Y8786,27.04,22.6,16709.48,0,Micro
Arima,Y8786,5.37,5.14,3028.36,0,Micro
Theta,Y8786,159.82,88.83,61845.6,0,Micro
Prophet,Y8786,156.41,87.74,61231.02,0,Micro
Last Value,Y8787,40.65,32.75,11180.0,0,Micro
Mean Value,Y8787,94.17,63.65,20524.28,0,Micro
Random Walk,Y8787,24.06,21.16,5036.39,0,Micro
Arima,Y8787,37.27,30.4,10440.31,0,Micro
Theta,Y8787,173.16,92.8,29237.0,0,Micro
Prophet,Y8787,174.79,93.24,29506.24,0,Micro
Last Value,Y8788,3.66,3.58,3060.0,0,Micro
Mean Value,Y8788,52.28,41.43,34980.69,0,Micro
Random Walk,Y8788,10.66,11.44,9419.26,0,Micro
Arima,Y8788,12.78,11.84,10122.41,0,Micro
Theta,Y8788,98.99,66.16,55750.0,0,Micro
Prophet,Y8788,98.97,66.19,55859.38,0,Micro
Last Value,Y8789,53.73,59.75,9220.0,0,Micro
Mean Value,Y8789,89.82,58.91,13430.34,0,Micro
Random Walk,Y8789,49.81,57.5,8568.34,0,Micro
Arima,Y8789,53.21,60.41,9149.7,0,Micro
Theta,Y8789,172.78,92.51,18230.0,0,Micro
Prophet,Y8789,161.75,88.8,17855.85,0,Micro
Last Value,Y8790,3.28,3.35,630.0,0,Micro
Mean Value,Y8790,87.18,60.71,11568.62,0,Micro
Random Walk,Y8790,10.64,9.64,1530.58,0,Micro
Arima,Y8790,17.97,20.09,3807.67,0,Micro
Theta,Y8790,144.2,83.76,15960.0,0,Micro
Prophet,Y8790,139.97,82.34,15686.23,0,Micro
Last Value,Y8791,19.19,17.67,9480.0,0,Micro
Mean Value,Y8791,66.26,49.18,25860.69,0,Micro
Random Walk,Y8791,33.94,28.32,15474.06,0,Micro
Arima,Y8791,51.6,38.71,21404.15,0,Micro
Theta,Y8791,157.59,88.13,44920.0,0,Micro
Prophet,Y8791,146.49,84.45,43262.39,0,Micro
Last Value,Y8792,21.13,18.92,2444.8,0,Micro
Mean Value,Y8792,90.37,62.19,7883.92,0,Micro
Random Walk,Y8792,32.45,27.42,3543.68,0,Micro
Arima,Y8792,6.11,5.92,401.76,0,Micro
Theta,Y8792,147.88,85.02,10740.1,0,Micro
Prophet,Y8792,143.26,83.44,10559.57,0,Micro
Last Value,Y8793,16.83,15.41,7517.0,0,Micro
Mean Value,Y8793,95.14,64.44,30961.9,0,Micro
Random Walk,Y8793,17.65,16.1,7758.7,0,Micro
Arima,Y8793,1.58,1.57,734.75,0,Micro
Theta,Y8793,159.95,88.87,42611.0,0,Micro
Prophet,Y8793,153.49,86.83,41678.84,0,Micro
Last Value,Y8794,7.37,7.1,3440.0,0,Micro
Mean Value,Y8794,90.18,62.15,30071.72,0,Micro
Random Walk,Y8794,20.65,18.4,8925.28,0,Micro
Arima,Y8794,7.45,7.92,3848.95,0,Micro
Theta,Y8794,159.65,88.78,42950.0,0,Micro
Prophet,Y8794,149.37,85.5,41368.58,0,Micro
Last Value,Y8795,9.46,8.8,2386.0,0,Micro
Mean Value,Y8795,86.66,60.4,15527.45,0,Micro
Random Walk,Y8795,10.85,10.24,2268.26,0,Micro
Arima,Y8795,4.98,5.13,683.73,0,Micro
Theta,Y8795,146.33,84.5,21637.0,0,Micro
Prophet,Y8795,145.67,84.26,21613.37,0,Micro
Last Value,Y8796,17.58,15.88,18977.0,0,Micro
Mean Value,Y8796,83.3,58.72,67932.86,0,Micro
Random Walk,Y8796,21.92,19.2,23042.0,0,Micro
Arima,Y8796,5.97,5.75,5056.64,0,Micro
Theta,Y8796,145.5,84.23,96950.0,0,Micro
Prophet,Y8796,141.42,82.81,95517.13,0,Micro
Last Value,Y8797,18.73,16.82,5681.7,0,Micro
Mean Value,Y8797,100.31,66.74,21749.18,0,Micro
Random Walk,Y8797,11.37,10.61,2339.96,0,Micro
Arima,Y8797,1.15,1.14,392.89,0,Micro
Theta,Y8797,162.7,89.72,29121.0,0,Micro
Prophet,Y8797,155.52,87.47,28436.17,0,Micro
Last Value,Y8798,14.47,13.29,7580.0,0,Micro
Mean Value,Y8798,102.06,67.53,37353.66,0,Micro
Random Walk,Y8798,5.62,5.7,2301.32,0,Micro
Arima,Y8798,4.22,4.31,2074.3,0,Micro
Theta,Y8798,172.24,92.54,51056.0,0,Micro
Prophet,Y8798,163.15,89.84,49616.55,0,Micro
Last Value,Y8799,16.11,14.67,9104.0,0,Micro
Mean Value,Y8799,100.37,66.78,40087.38,0,Micro
Random Walk,Y8799,20.59,18.12,11294.57,0,Micro
Arima,Y8799,20.04,17.98,11074.87,0,Micro
Theta,Y8799,170.59,92.06,55085.0,0,Micro
Prophet,Y8799,162.33,89.59,53675.13,0,Micro
Last Value,Y8800,18.02,16.16,7463.0,0,Micro
Mean Value,Y8800,98.78,66.04,29187.55,0,Micro
Random Walk,Y8800,4.37,4.33,1795.97,0,Micro
Arima,Y8800,2.08,2.1,895.1,0,Micro
Theta,Y8800,170.91,92.16,40532.0,0,Micro
Prophet,Y8800,164.87,90.35,39800.78,0,Micro
Last Value,Y8801,24.39,21.19,16030.0,0,Micro
Mean Value,Y8801,101.06,67.01,48328.62,0,Micro
Random Walk,Y8801,48.5,37.52,28153.77,0,Micro
Arima,Y8801,16.84,15.07,11592.47,0,Micro
Theta,Y8801,165.81,90.65,64960.0,0,Micro
Prophet,Y8801,156.19,87.66,62930.21,0,Micro
Last Value,Y8802,8.51,7.97,8600.0,0,Micro
Mean Value,Y8802,92.86,63.37,65148.28,0,Micro
Random Walk,Y8802,4.12,3.97,4232.45,0,Micro
Arima,Y8802,5.07,5.22,2876.15,0,Micro
Theta,Y8802,178.64,94.36,96730.0,0,Micro
Prophet,Y8802,171.35,92.27,94680.15,0,Micro
Last Value,Y8803,15.44,14.03,4548.72,0,Micro
Mean Value,Y8803,86.1,60.1,18681.24,0,Micro
Random Walk,Y8803,5.55,5.51,1303.56,0,Micro
Arima,Y8803,10.24,9.55,2708.45,0,Micro
Theta,Y8803,146.69,84.62,26164.41,0,Micro
Prophet,Y8803,142.77,83.27,25803.8,0,Micro
Last Value,Y8804,8.07,7.62,5800.0,0,Micro
Mean Value,Y8804,73.47,53.68,39448.41,0,Micro
Random Walk,Y8804,34.98,28.55,21459.58,0,Micro
Arima,Y8804,6.06,5.81,4335.17,0,Micro
Theta,Y8804,133.99,80.23,58765.0,0,Micro
Prophet,Y8804,128.82,78.33,57473.62,0,Micro
Last Value,Y8805,12.72,11.81,3431.1,0,Micro
Mean Value,Y8805,78.12,56.13,15930.36,0,Micro
Random Walk,Y8805,7.26,7.72,2198.73,0,Micro
Arima,Y8805,1.92,1.89,327.9,0,Micro
Theta,Y8805,141.59,82.9,23454.9,0,Micro
Prophet,Y8805,138.08,81.66,23140.71,0,Micro
Last Value,Y8806,13.03,12.04,2764.6,0,Micro
Mean Value,Y8806,63.53,48.13,10744.93,0,Micro
Random Walk,Y8806,17.45,15.56,3577.29,0,Micro
Arima,Y8806,21.9,19.33,4424.42,0,Micro
Theta,Y8806,124.83,76.86,17062.3,0,Micro
Prophet,Y8806,122.24,75.83,16876.88,0,Micro
Last Value,Y8807,22.76,19.76,21768.6,0,Micro
Mean Value,Y8807,100.16,66.58,68566.72,0,Micro
Random Walk,Y8807,13.07,11.95,11170.71,0,Micro
Arima,Y8807,10.49,9.64,9675.29,0,Micro
Theta,Y8807,162.41,89.62,91488.9,0,Micro
Prophet,Y8807,156.02,87.6,89648.29,0,Micro
Last Value,Y8808,22.24,19.9,3828.8,0,Micro
Mean Value,Y8808,96.56,65.09,12382.98,0,Micro
Random Walk,Y8808,34.78,29.02,5615.05,0,Micro
Arima,Y8808,13.53,12.57,2435.56,0,Micro
Theta,Y8808,173.26,92.84,17628.2,0,Micro
Prophet,Y8808,164.84,90.35,17170.77,0,Micro
Last Value,Y8809,19.82,17.69,19170.0,0,Micro
Mean Value,Y8809,103.32,67.89,68592.07,0,Micro
Random Walk,Y8809,41.15,32.71,35275.73,0,Micro
Arima,Y8809,20.3,18.03,19578.27,0,Micro
Theta,Y8809,169.56,91.75,91270.0,0,Micro
Prophet,Y8809,167.82,91.21,91204.36,0,Micro
Last Value,Y8810,11.03,10.18,2873.0,0,Micro
Mean Value,Y8810,97.03,65.24,17247.34,0,Micro
Random Walk,Y8810,5.79,5.53,1459.48,0,Micro
Arima,Y8810,10.16,9.43,2663.16,0,Micro
Theta,Y8810,162.83,89.75,23594.0,0,Micro
Prophet,Y8810,156.67,87.82,23136.47,0,Micro
Last Value,Y8811,12.09,11.37,9090.0,0,Micro
Mean Value,Y8811,63.55,48.22,38372.07,0,Micro
Random Walk,Y8811,13.86,12.84,10249.87,0,Micro
Arima,Y8811,4.87,4.75,2310.36,0,Micro
Theta,Y8811,96.59,65.13,51810.0,0,Micro
Prophet,Y8811,95.69,64.72,51486.6,0,Micro
Last Value,Y8812,21.97,19.66,3989.7,0,Micro
Mean Value,Y8812,96.93,65.26,13068.9,0,Micro
Random Walk,Y8812,39.13,32.16,6525.53,0,Micro
Arima,Y8812,12.64,11.77,2410.29,0,Micro
Theta,Y8812,173.07,92.78,18540.9,0,Micro
Prophet,Y8812,165.01,90.4,18082.82,0,Micro
Last Value,Y8813,12.48,11.41,6272.8,0,Micro
Mean Value,Y8813,35.62,30.01,15801.24,0,Micro
Random Walk,Y8813,9.73,8.94,4535.58,0,Micro
Arima,Y8813,4.39,4.21,2096.41,0,Micro
Theta,Y8813,38.07,31.96,16462.6,0,Micro
Prophet,Y8813,2.91,2.84,1527.63,0,Micro
Last Value,Y8814,3.25,3.16,1838.3,0,Micro
Mean Value,Y8814,27.15,23.86,13511.1,0,Micro
Random Walk,Y8814,3.89,3.78,1608.04,0,Micro
Arima,Y8814,6.98,7.25,2510.45,0,Micro
Theta,Y8814,35.83,30.25,16980.8,0,Micro
Prophet,Y8814,5.65,5.84,1710.88,0,Micro
Last Value,Y8815,32.61,39.72,2743.57,0,Micro
Mean Value,Y8815,10.16,9.82,710.63,0,Micro
